XCoord;YCoord;NAME;DESCRIPTION;MUNICIPAL;COUNTY;POSITIONSTRING;CATEGORY;HELICOPTERTYPE;SURFACE;ICAOIDENT;ALT;LIGHTS;WINDSOCK;COMSEMERSERVICE;FUEL;EXTERNALPOWER;CONTACTINFO;OBSTACLES;OTHERINFO;OPPRETTETAVBASE;DATAKILDE;CONVERGENCE;DELETED;ID_330;KBLAD
21.79500000;70.25166667;BERGSFJORD;Fotballbane, grus;Loppa;Finnmark;7015.10N 02147.70E;NULL;NULL;Gravel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-6.398783;0;29;1735-1
25.01833333;69.90500000;GP;Inne i GP leir, pad;Porsanger;Finnmark;6954.30N 02501.10E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-9.419760;0;30;2034-4
25.50333333;69.48666667;Karasjok;Pad;Karasjok;Finnmark;6929.20N 02530.20E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-9.850831;0;31;2033-1
27.32000000;70.94666667;Kjøllefjord;Pad;Lebesby;Finnmark;7056.80N 02719.20E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-11.664096;0;32;2236-4
26.99833333;70.57500000;Lebesby;Fotballbane;Lebesby;Finnmark;7034.50N 02659.90E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-11.333586;0;33;2136-2
24.39000000;69.56666667;Mollesjohka;Åpen plass;Karasjok;Finnmark;6934.00N 02423.40E;NULL;NULL;Other;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-8.808765;0;34;1934-2
18.98500000;69.68333333;UNN;Sykehus, Tromsø;Tromsø;Finnmark;6941.00N 01859.10E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-3.737813;0;35;1534-3
30.07200000;69.72766667;Kirkenes;Parkeringsplass;Sør Varanger;Finnmark;6943.66N 03004.32E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-14.177277;0;36;2434-2
28.19166667;70.20083333;Tana Bru;Pad;Tana;Finnmark;7012.05N 02811.50E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-12.436894;0;37;2235-2
20.95416667;70.01100000;Skjervøy;Pad;Skjervøy;Troms;7000.66N 02057.25E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-5.597833;0;38;1635-2
23.02800000;69.01016667;Kautokeino;Pad;Kautokeino;Finnmark;6900.61N 02301.68E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Banak;Registrering landingsplasser 330skv v6;-7.501589;0;39;1833-2
8.65748000;63.86421000;Mausund;fotballbane;Frøya;Sør Trøndelag;6351.85N 00839.45E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.698540;0;40;1422-4
8.45436000;63.84501000;Sula;fotballbane;Frøya;Sør Trøndelag;6350.70N 00827.26E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.880380;0;41;1422-4
8.82210000;63.73034000;Sistranda;fotballbane;Frøya;Sør Trøndelag;6343.82N 00849.33E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.544071;0;42;1422-2
8.98807000;63.60210000;Fillan;kai;Hitra;Sør Trøndelag;6336.13N 00859.28E;NULL;NULL;Gravel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.388973;0;43;1422-2
9.10897000;63.52109000;Sandstad;parkering;Hitra;Sør Trøndelag;6331.27N 00906.54E;NULL;NULL;Gravel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.276758;0;44;1422-2
8.69563000;63.41086000;Tjeldbergodden;helipad;Aure;Møre og Romsdal;6324.65N 00841.74E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.642186;0;45;1421-4
9.09146000;63.29077000;Kyrksæterøra;kai;Hemne;Sør Trøndelag;6317.45N 00905.49E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.281885;0;46;1421-1
11.64802000;63.44292000;Meråker;fotballbane;Meråker;Nord Trøndelag;6326.58N 01138.88E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;2.998997;0;47;1721-4
11.28228000;63.73725000;Levanger Moan;parkering/pad;Levanger;Nord Trøndelag;6344.24N 01116.94E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;3.334875;0;48;1722-3
10.01560000;62.83220000;Berkåk;pad;Rennebu;Sør Trøndelag;6249.93N 01000.94E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;4.436828;0;49;1520-1
9.85404000;62.65173000;Oppdal Fagerhaug;flyplass;Oppdal;Sør Trøndelag;6239.10N 00951.24E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;4.573402;0;50;1520-2
11.60201000;64.86345000;Kolvereid;fotballbane;Nærøy;Nord Trøndelag;6451.81N 01136.12E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;3.076847;0;51;1724-4
8.55901000;62.67651000;Sunndalsøra;fabrikk/pad;Sunndal;Møre og Romsdal;6240.59N 00833.54E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;5.727459;0;52;1420-3
9.81272000;63.76414000;Botngård;fotballbane;Bjugn;Sør Trøndelag;6345.85N 00948.76E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;4.655389;0;53;1522-1
10.18223000;63.95757000;Åfjord;kai/parkering;Åfjord;Sør Trøndelag;6357.45N 01010.93E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;4.330591;0;54;1522-1
7.83373000;62.44931000;Marstein Camping;campingplass;Rauma;Møre og Romsdal;6226.96N 00750.02E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;6.360740;0;55;1319-1
7.68334000;62.55157000;Åndalsnes Setnesmoen;militærleir/parkering;Rauma;Møre og Romsdal;6233.09N 00741.00E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;6.500517;0;56;1320-3
11.31963000;64.11654000;Vellamelen;veikryss;Steinkjer;Nord Trøndelag;6406.99N 01119.18E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;3.312040;0;57;1723-3
10.61863000;63.67981000;Leksvik;fotballbane;Leksvik;Nord Trøndelag;6340.79N 01037.12E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Ørland;Registrering landingsplasser 330skv v6;3.928665;0;58;1622-3
6.64988669;59.05486187;Lysebotn;Lysebotn;Forsand;Rogaland;5903.29N 00638.99E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Antatt posisjon;Sola;Registrering landingsplasser 330skv v6;7.119800;0;59;1313-2
7.55200000;59.02566667;Valle;Valle Flyplass;Valle;Aust-Agder;5901.54N 00733.12E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;6.395471;0;60;1413-2
5.99300000;58.44083333;Egersund fotballbane;Egersund ;Egersund;Rogaland;5826.45N 00559.58E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.692264;0;61;1211-1
7.98565000;58.16088000;Sørlandet Sykehus;Sørlandet Sykehus;Kristiansand;Vest-Agder;5809.65N 00759.14E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;5.967247;0;62;1511-3
6.55183333;58.45150000;Moi;Moi fotballbane;Lund;Rogaland;5827.09N 00633.11E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.213858;0;63;1311-4
6.25283333;59.49400000;Sand;Gammel idrettsbane;Sand;Rogaland;5929.64N 00615.17E;NULL;NULL;Gravel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.551499;0;64;1313-4
6.11216667;60.09333333;Ænes i Hardanger;Ænes i Hardanger;Kvinnherrad;Hordaland;6005.60N 00606.73E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.719738;0;65;1215-2
6.64833333;60.12733333;Ringedalsvatnet ;Helipad ved vannet;Odda;Hordaland;6007.64N 00638.90E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.254792;0;66;1315-2
6.74066667;60.36150000;Kinsarvik;Airlift base;Odda;Hordaland;6021.69N 00644.44E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.190912;0;67;1315-1
6.56550000;58.86566667;Øvstabø;Hunnedalen;Gjesdal;Rogaland;5851.94N 00633.93E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.233578;0;68;1312-4
6.66933333;58.30000000;Flekkefjord;Fotballbane;Flekkefjord;Rogaland;5818.00N 00640.16E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Sola;Registrering landingsplasser 330skv v6;7.101682;0;69;1311-1
5.34616667;60.38000000;Bergen, Grønneviksøren;Helipad, NLA;Bergen;Hordaland;6022.80N 00520.77E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.411759;0;70;1115-1
5.35833333;60.37333333;Bergen, Haukeland Sykehus;Helipad;Bergen;Hordaland;6022.40N 00521.50E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.400561;0;71;1115-1
6.50053300;60.63871100;ENBM, Voss flyplass;Flyplass;Voss;Hordaland;6038.32N 00630.03E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.420781;0;72;1316-3
4.63460800;61.28465000;Bulandet;Snuplass;Askvoll;Sogn og Fjordane;6117.08N 00438.08E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;9.113582;0;73;1017-1
6.50227700;61.73160400;Byrkjelo;Idrettsplass;Gloppen;Sogn og Fjordane;6143.90N 00630.14E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.496620;0;74;1318-3
5.43950000;61.59400000;Eikefjord/Kvalvik;Fotballbane;Flora;Sogn og Fjordane;6135.64N 00526.37E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.427115;0;75;1118-2
5.88583333;61.45566667;Førde Sykehus;Helipad;Førde;Sogn og Fjordane;6127.34N 00553.15E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.021783;0;76;1217-1
7.28100000;61.59566667;Jostedalen Fjell- og Bregruppe;Beitemark;Luster;Sogn og Fjordane;6135.74N 00716.86E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Alternativ posisjon 1: N6136,25 E00717,57 Alternativ posisjon 2: N6139,08 E00716,70;Florø;Registrering landingsplasser 330skv v6;6.799056;0;77;1418-3
5.99166667;60.64950000;Bolstadøyri;Treningsområde AR-Bergen;Voss;Hordaland;6038.97N 00559.50E;NULL;NULL;Other;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.867599;0;78;1216-2
6.74066667;60.36150000;Kinsarvik Vetlemoen;Helipad, Airlift;Ullensvang;Hordaland;6021.69N 00644.44E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.190912;0;79;1315-1
6.82666667;61.86833333;Loen/Olden;Helipad;Stryn;Sogn og Fjordane;6152.10N 00649.60E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.218691;0;80;1318-1
7.47283333;61.09950000;Lærdal;Helipad;Lærdal;Sogn og Fjordane;6105.97N 00728.37E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;6.598623;0;81;1417-2
7.13500000;62.73666667;Molde;Helipad, NLA;Molde;Møre og Romsdal;6244.20N 00708.10E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.000522;0;82;1220-2
5.19166667;61.72133333;Myklebust;Jorde mellom to gårder;Bremanger;Sogn og Fjordane;6143.28N 00511.50E;NULL;NULL;Other;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.656733;0;83;1118-2
5.12166667;61.93883333;Måløy;Kaianlegg;Vågsøy;Sogn og Fjordane;6156.33N 00507.30E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.736254;0;84;1118-1
5.37900000;61.64233333;Norddal;Jorde rett sør for kirke;Norddal;Møre og Romsdal;6138.54N 00522.74E;NULL;NULL;Other;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.484478;0;85;1118-2
5.33900000;62.04133333;Selje;Parkering ved unifomspartner Selje;Selje;Sogn og Fjordane;6202.48N 00520.34E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.551246;0;86;1119-3
6.70783333;61.90250000;Stryn;Parkeringsplass ved idrettsanlegg;Stryn;Sogn og Fjordane;6154.15N 00642.47E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.326276;0;87;1318-1
5.29466667;61.76983333;Svelgen;Gressplass ved Marina;Bremanger;Sogn og Fjordane;6146.19N 00517.68E;NULL;NULL;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;8.569273;0;88;1118-1
6.58300000;62.39583333;Sykkylven;Helipad;Sykkylven;Møre og Romsdal;6223.75N 00634.98E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.470444;0;89;1219-4
6.09000000;62.15033333;Volda Sykehus;Parkeringsplass;Volda;Møre og Romsdal;6209.02N 00605.40E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.891907;0;90;1119-2
6.31283333;62.46300000;Ålesund Sykehus;Helipad;NULL;Møre og Romsdal;6227.78N 00618.77E;NULL;NULL;Paved;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Florø;Registrering landingsplasser 330skv v6;7.715669;0;91;1219-4
14.57859990;67.00332125;Moldjord;Idrettsplass;Beiarn;Nordland;6700.20N 01434.72E;LZ Other;Medium;Gravel;NULL;5;No;No;Bodø3/Salten BAPS1;No;No;Beiarn Kommune, Tlf: +47 75 56 90 00;Spenn over dalen 2 NM Øst av plassen;NULL;Bodø;LZ information 330BO.xlsx;0.390028;0;92;2029-3
13.21638063;66.79911585;Bolga;Idrettsbane;Meløy;Nordland;6647.95N 01312.98E;LZ Other;Medium;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Bodø;LZ information 330BO.xlsx;1.637890;0;93;1828-1
15.45670000;68.14670000;Buvåg;Gresslette ved vei;Hamarøy;Nordland;6808.80N 01527.40E;LZ Other;Medium;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Bodø;LZ information 330BO.xlsx;-0.423883;0;94;1231-3
13.53058074;66.78286863;Engavågen;Idrettsbane;Meløy;Nordland;6646.97N 01331.83E;LZ Other;Medium;Gravel;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Bodø;LZ information 330BO.xlsx;1.352012;0;95;1928-4
13.42780000;66.79470000;Grønøy;Idrettsbane;Meløy;Nordland;6647.68N 01325.67E;LZ Other;Medium;Grass;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Bodø;LZ information 330BO.xlsx;1.445064;0;96;1928-4
